木の高さ,変形なし,変形あり
4,7,7
4,8,6
4,6,4
4,3,3
4,9,11
4,12,10
4,2,2
4,5,3
4,6,6
4,6,6
4,5,5
4,5,4
4,5,5
4,4,4
4,-1,15
4,6,10
4,8,8
4,6,6
4,8,8
4,7,7
4,4,5
4,9,10
4,10,9
4,3,3
4,9,9
4,11,9
4,6,6
4,1,1
4,3,3
4,9,9
4,4,4
4,3,3
4,7,6
4,2,2
4,4,4
4,8,9
4,-3,-3
4,7,7
4,8,8
4,13,-3
4,5,5
4,5,5
4,6,6
4,6,6
4,10,8
4,9,10
4,8,7
4,-3,-3
4,6,6
4,5,5
4,6,6
4,6,5
4,12,7
4,10,9
4,4,4
4,12,12
4,6,5
4,8,8
4,12,9
4,5,5
4,6,-3
4,4,4
4,6,2
4,8,-2
4,8,8
4,5,4
4,7,7
4,4,4
4,11,11
4,-3,6
4,7,7
4,7,6
4,5,7
4,8,9
4,-3,8
4,8,8
4,9,7
4,8,8
4,12,9
4,2,2
4,3,3
4,8,7
4,7,6
4,5,5
4,7,7
4,11,12
4,6,6
4,6,8
4,-1,-1
4,3,3
4,7,7
4,6,6
4,5,4
4,5,5
4,8,11
4,3,3
4,9,9
4,7,6
4,4,4
4,7,6
