木の高さ,2by2,2by3,変形なしオーバーラップ,変形ありオーバーラップ,変形なしフラッシング,変形ありフラッシング
5,17,30,27,-1,20,-3
5,12,22,20,17,14,10
5,27,30,-1,27,-3,24
5,9,15,10,10,8,8
5,20,21,22,21,21,13
5,20,31,30,27,21,22
5,4,4,4,4,3,3
5,9,14,12,12,8,8
5,28,28,33,30,21,21
5,9,13,11,10,11,7
5,23,24,26,24,19,17
5,7,17,12,12,10,10
5,15,17,19,18,12,12
5,21,39,32,34,28,23
5,26,26,27,32,20,14
5,15,19,16,14,14,11
5,19,18,24,22,19,20
5,10,20,16,15,16,14
5,10,14,12,12,12,12
5,30,31,35,31,25,21
5,18,20,25,24,25,24
5,18,22,21,19,18,17
5,26,34,35,29,20,21
5,13,11,-1,-1,-3,-3
5,15,11,12,11,9,7
5,6,8,7,7,5,6
5,18,29,28,27,21,17
5,16,7,13,11,13,11
5,12,11,13,10,13,10
5,18,22,21,-1,15,-2
5,9,17,14,13,12,11
5,25,36,-1,27,-1,12
5,9,11,13,13,13,13
5,18,43,31,34,29,31
5,7,5,7,7,7,7
5,27,41,37,35,22,24
5,17,23,22,22,16,17
5,26,40,36,38,24,28
5,27,25,31,29,22,24
5,11,11,10,10,10,9
5,15,15,18,18,14,11
5,9,22,18,18,14,16
5,17,33,31,30,25,19
5,7,6,8,8,4,4
5,21,34,33,30,25,23
5,16,23,-1,18,-1,15
5,16,15,18,18,17,17
5,15,19,19,19,14,13
5,6,4,4,4,4,4
5,26,45,44,38,29,32
5,38,77,72,-1,43,-1
5,22,31,29,29,20,23
5,10,7,8,8,8,8
5,8,9,-1,7,-3,7
5,23,22,27,24,23,19
5,11,9,11,11,11,11
5,31,35,34,30,24,20
5,13,17,17,17,11,12
5,14,22,21,19,18,16
5,13,29,27,26,24,21
5,17,31,23,24,18,21
5,15,24,24,23,21,20
5,19,30,-1,25,-3,17
5,18,12,19,19,19,19
5,9,16,13,13,12,12
5,11,13,12,12,9,9
5,7,1,3,3,3,3
5,32,41,48,44,33,23
5,25,24,-1,26,-3,20
5,13,23,17,18,10,11
5,18,16,-1,-1,-3,-3
5,14,20,18,17,15,14
5,10,16,12,12,10,10
5,12,11,13,12,10,8
5,1,7,4,4,4,4
5,10,19,14,15,9,8
5,21,24,22,-1,15,-2
5,8,21,16,15,16,14
5,12,22,20,21,14,15
5,9,7,-1,6,-1,6
5,12,23,17,14,16,12
5,26,25,-1,31,-3,27
5,4,14,9,9,9,9
5,10,8,12,12,12,12
5,16,19,-1,19,-1,18
5,14,20,-1,-1,-3,-3
5,13,13,14,14,14,14
5,5,2,4,4,4,4
5,9,17,19,15,17,14
5,32,34,41,37,32,20
5,20,36,29,27,22,18
5,6,5,6,5,6,5
5,16,20,18,18,18,18
5,22,21,-1,23,-2,13
5,44,43,-1,-1,-1,-1
5,22,36,38,35,30,19
5,34,35,-1,-1,-3,-2
5,23,28,27,27,27,27
5,7,25,17,17,17,16
5,20,14,21,20,17,16
