木の高さ,2by2,2by3,変形なしオーバーラップ,変形ありオーバーラップ,変形なしフラッシング,変形ありフラッシング
4,5,13,11,11,10,10
4,7,13,9,9,7,7
4,11,12,10,10,6,7
4,6,13,9,9,6,6
4,3,2,-1,1,-1,1
4,4,8,6,6,5,5
4,3,1,2,2,2,2
4,1,7,3,4,3,4
4,8,6,9,9,9,9
4,13,7,12,8,10,5
4,10,13,11,10,10,9
4,8,11,10,10,8,8
4,5,7,6,6,6,6
4,6,7,7,7,7,7
4,12,27,17,15,15,13
4,11,8,8,9,8,9
4,4,13,7,7,3,3
4,5,0,2,2,2,2
4,3,5,3,3,3,3
4,2,7,3,3,3,3
4,3,12,8,9,8,9
4,10,7,8,7,8,7
4,7,7,-1,7,-3,7
4,10,6,8,7,8,7
4,0,5,2,2,2,2
4,4,3,4,4,2,2
4,11,9,11,11,7,7
4,5,2,2,2,1,1
4,1,7,3,3,2,2
4,7,9,7,7,6,5
4,5,7,6,5,5,4
4,5,10,9,10,9,10
4,3,8,4,4,4,4
4,11,8,9,9,6,6
4,2,2,2,2,2,2
4,2,9,5,6,5,6
4,7,3,5,5,4,4
4,4,12,9,9,9,9
4,4,11,7,8,7,6
4,9,7,7,7,7,7
4,5,6,4,4,4,4
4,8,23,18,18,11,14
4,2,6,4,4,4,4
4,10,10,-1,9,-1,5
4,2,13,7,5,5,3
4,5,13,9,9,5,4
4,3,9,5,5,5,5
4,7,20,11,11,8,7
4,9,18,12,14,4,5
4,11,2,6,6,5,6
4,5,10,9,8,9,7
4,17,8,13,11,11,9
4,9,8,8,8,3,4
4,2,3,2,2,2,2
4,17,9,-1,-1,-3,-3
4,21,12,-1,-1,-1,-3
4,6,12,-1,7,-1,7
4,7,1,3,3,3,3
4,7,8,8,8,7,7
4,2,8,4,4,3,3
4,7,10,8,8,8,8
4,3,4,3,3,3,3
4,9,11,7,7,6,6
4,9,10,10,10,10,10
4,3,5,4,4,4,4
4,4,10,5,5,3,3
4,6,16,13,13,11,11
4,9,14,12,12,8,8
4,2,14,6,6,4,4
4,2,7,4,5,2,2
4,7,14,10,9,7,6
4,5,8,6,6,5,5
4,5,5,3,3,3,3
4,9,10,7,7,7,6
4,9,13,13,13,7,7
4,11,13,12,11,10,8
4,7,12,8,9,5,6
4,5,9,5,5,4,4
4,2,9,4,4,4,4
4,1,8,3,3,3,3
4,2,6,4,4,4,4
4,6,10,7,6,5,4
4,6,5,6,6,6,6
4,9,19,17,13,10,7
4,9,16,11,11,5,6
4,11,10,10,9,7,6
4,11,19,14,15,12,8
4,3,13,9,9,8,8
4,10,19,-1,13,-1,8
4,6,7,7,7,7,7
4,17,16,-1,16,-3,12
4,6,8,6,6,6,6
4,5,5,6,5,6,5
4,11,8,9,9,5,5
4,10,11,10,11,7,8
4,4,1,2,2,2,2
4,12,13,14,13,9,6
4,2,3,2,2,2,2
4,4,1,2,2,2,2
4,4,4,3,3,2,2
