木の高さ,2by2,2by3,変形なし,変形あり
4,12,9,8,6
4,3,4,-1,1
4,7,9,-1,4
4,16,9,-1,9
4,3,4,4,4
4,7,13,7,7
4,8,11,9,6
4,4,3,3,3
4,2,5,3,3
4,5,4,5,5
4,6,4,4,4
4,14,22,10,10
4,1,3,2,2
4,10,7,8,8
4,4,9,4,4
4,3,8,2,2
4,16,9,9,7
4,6,13,-3,10
4,9,17,8,7
4,4,7,3,3
4,3,5,4,4
4,8,12,9,7
4,6,3,5,3
4,10,13,-1,7
4,2,13,4,3
4,5,7,6,6
4,7,2,3,4
4,6,5,6,7
4,15,11,11,11
4,15,6,10,8
4,7,17,9,9
4,11,9,10,6
4,4,8,-3,-3
4,9,11,11,8
4,8,6,5,5
4,16,4,6,6
4,7,10,-3,6
4,15,14,9,-3
4,3,3,2,2
4,9,14,8,9
4,11,18,9,8
4,6,14,5,4
4,4,6,2,2
4,7,20,9,8
4,6,4,3,3
4,10,20,-1,6
4,8,3,4,5
4,3,4,2,2
4,12,17,10,7
4,19,17,13,14
4,5,4,4,4
4,11,6,8,6
4,7,4,6,5
4,19,8,12,-1
4,7,12,5,4
4,12,15,8,9
4,5,9,7,7
4,10,6,9,7
4,3,13,8,8
4,9,11,7,7
4,3,6,4,4
4,7,12,11,5
4,7,10,5,5
4,9,8,6,5
4,8,1,3,3
4,7,13,10,7
4,9,11,6,8
4,12,9,8,10
4,2,3,2,2
4,9,5,6,5
4,5,4,3,3
4,8,6,6,6
4,10,3,7,6
4,6,7,6,6
4,3,7,5,5
4,8,10,6,6
4,5,4,2,2
4,7,7,6,6
4,13,16,7,6
4,13,14,9,-1
4,7,2,4,4
4,7,7,5,4
4,5,10,6,6
4,2,7,3,3
4,3,4,1,1
4,3,3,3,3
4,2,6,2,2
4,9,7,6,6
4,0,4,2,2
4,7,18,7,9
4,4,8,4,3
4,2,6,3,3
4,7,13,7,7
4,4,7,5,5
4,13,17,6,10
4,17,8,11,8
4,7,4,6,7
4,7,7,6,6
4,6,2,3,3
4,5,10,8,6
