木の高さ,2by2,2by3,変形なし,変形あり
4,14,8,6,5
4,3,13,4,4
4,7,0,3,3
4,10,15,8,8
4,4,4,4,4
4,4,3,3,3
4,9,8,5,5
4,4,15,8,6
4,4,9,5,5
4,13,9,9,5
4,2,4,2,2
4,10,12,7,7
4,8,10,6,6
4,9,12,9,7
4,6,10,4,4
4,3,5,2,2
4,4,5,4,4
4,3,3,2,2
4,7,7,4,3
4,7,8,6,6
4,11,10,10,7
4,6,7,6,6
4,4,4,4,4
4,6,10,6,6
4,15,3,6,6
4,3,6,-3,2
4,6,13,7,8
4,6,5,4,5
4,8,11,5,6
4,6,1,3,3
4,5,9,-1,3
4,20,14,16,12
4,6,19,8,10
4,8,15,6,8
4,14,14,10,8
4,4,3,4,4
4,3,6,4,4
4,10,10,9,8
4,6,15,7,7
4,10,7,6,5
4,13,5,8,8
4,12,14,-1,7
4,7,27,11,8
4,17,15,11,10
4,5,4,5,5
4,1,12,8,8
4,3,11,7,7
4,5,8,8,7
4,6,10,6,8
4,4,6,4,4
4,3,7,6,6
4,21,30,16,13
4,6,9,8,5
4,10,13,5,7
4,8,9,7,6
4,4,13,5,6
4,11,7,5,7
4,6,6,6,6
4,16,16,9,7
4,2,8,3,4
4,8,3,4,4
4,3,6,5,5
4,6,20,8,9
4,12,16,8,8
4,4,12,5,5
4,5,9,3,4
4,10,19,11,12
4,9,9,9,6
4,2,3,2,2
4,16,17,18,11
4,12,12,12,9
4,9,10,9,9
4,3,13,8,8
4,2,3,2,2
4,12,10,8,8
4,3,2,2,2
4,7,10,6,6
4,3,11,6,6
4,12,10,12,6
4,19,17,13,13
4,5,11,6,6
4,5,7,2,2
4,9,16,15,11
4,4,11,3,3
4,5,19,8,10
4,19,19,-1,10
4,9,10,-3,-3
4,4,2,3,3
4,1,4,2,2
4,9,11,9,9
4,3,3,3,3
4,14,6,5,5
4,2,9,4,2
4,12,12,9,8
4,4,8,5,5
4,11,19,5,7
4,4,7,4,5
4,4,5,4,2
4,2,15,8,7
4,13,10,6,6
