木の高さ,2by2,2by3,変形なしオーバーラップ,変形ありオーバーラップ,変形なしフラッシング,変形ありフラッシング
4,10,12,11,10,11,8
4,4,13,7,7,6,6
4,7,8,7,7,7,7
4,7,5,6,6,6,6
4,8,8,8,9,6,7
4,7,8,-1,7,-1,7
4,5,11,8,8,8,8
4,7,16,13,13,9,8
4,4,7,8,8,8,8
4,9,9,8,8,7,5
4,6,16,13,12,8,12
4,9,11,11,10,8,7
4,8,4,6,6,5,5
4,8,13,10,9,6,5
4,2,4,3,3,3,3
4,13,18,16,18,10,12
4,10,11,10,10,6,7
4,8,6,7,7,7,7
4,4,9,6,6,4,4
4,4,11,6,6,6,6
4,6,5,6,5,6,5
4,12,11,13,12,9,6
4,10,9,9,8,6,6
4,9,16,-1,12,-1,11
4,1,7,3,3,3,3
4,2,6,3,3,3,3
4,12,10,11,11,8,8
4,7,7,7,7,6,6
4,6,8,7,6,7,6
4,6,6,7,7,7,7
4,12,10,12,9,12,8
4,7,9,6,6,4,4
4,10,12,12,13,12,12
4,3,6,6,4,5,2
4,13,11,11,12,9,8
4,14,10,13,13,7,8
4,3,10,5,5,4,4
4,3,2,2,2,2,2
4,17,13,-1,16,-1,9
4,9,2,6,5,6,5
4,11,10,11,11,9,9
4,13,8,11,9,9,7
4,4,5,4,4,3,3
4,14,19,-1,18,-3,12
4,6,16,11,11,10,10
4,5,8,6,6,6,6
4,7,1,3,3,3,3
4,1,8,4,4,3,4
4,11,14,12,-1,7,-1
4,7,12,7,8,6,5
4,2,6,3,3,3,3
4,8,13,13,13,11,11
4,6,7,5,5,3,3
4,12,23,19,-1,12,-1
4,5,10,8,6,8,6
4,6,8,-1,7,-1,6
4,13,16,15,12,9,9
4,8,8,-1,-1,-1,-1
4,10,14,11,12,7,7
4,8,7,7,5,6,3
4,4,4,4,4,4,4
4,12,9,9,11,9,7
4,9,13,13,13,13,13
4,9,7,7,7,6,6
4,2,3,2,2,2,2
4,3,2,1,1,1,1
4,7,6,5,6,5,6
4,14,7,9,10,8,9
4,9,23,19,17,11,10
4,4,2,2,2,2,2
4,4,9,6,6,4,4
4,7,13,10,10,8,8
4,7,4,7,7,7,7
4,10,8,8,8,7,7
4,7,13,9,9,8,6
4,9,15,13,10,10,6
4,3,15,9,8,9,8
4,5,2,3,3,3,3
4,3,15,9,9,7,7
4,10,8,8,7,7,6
4,6,11,8,8,6,5
4,5,9,5,5,3,3
4,10,11,8,8,7,7
4,5,4,3,3,3,3
4,3,9,6,5,5,3
4,6,9,-1,-1,-1,-1
4,5,8,7,7,4,4
4,10,9,8,8,8,8
4,4,8,6,6,4,4
4,12,16,16,9,10,6
4,1,6,2,2,2,2
4,9,13,11,-1,10,-1
4,5,9,7,7,6,6
4,0,8,2,2,2,2
4,5,3,4,4,4,4
4,10,19,13,14,8,6
4,10,14,12,12,8,8
4,1,4,2,2,2,2
4,7,13,-1,11,-1,10
4,7,12,-1,9,-3,8
