木の高さ,2by2,2by3,変形なしオーバーラップ,変形ありオーバーラップ,変形なしフラッシング,変形ありフラッシング
5,11,18,13,13,12,12
5,7,30,19,17,16,16
5,14,4,10,10,10,10
5,25,28,34,-1,27,-1
5,19,18,21,20,18,19
5,12,24,17,19,15,16
5,14,27,23,21,15,12
5,12,18,16,16,16,13
5,18,24,23,24,13,15
5,19,20,21,-1,15,-1
5,20,16,-1,20,-3,13
5,27,47,40,40,29,30
5,6,16,12,12,7,7
5,10,16,15,16,15,16
5,3,6,4,4,4,4
5,7,15,10,12,10,12
5,15,27,-1,21,-3,17
5,25,38,32,33,18,20
5,2,8,4,4,4,4
5,6,9,8,8,5,5
5,6,9,8,8,7,7
5,18,9,17,17,16,11
5,11,19,16,-1,12,-1
5,11,9,10,10,10,10
5,12,24,21,20,21,20
5,14,18,-1,17,-3,14
5,18,13,15,14,10,10
5,30,47,42,39,27,26
5,35,56,-1,-1,-3,-1
5,18,16,21,20,15,15
5,13,36,28,24,22,18
5,10,13,12,12,11,11
5,20,31,-1,-1,-2,-2
5,16,18,20,17,11,12
5,20,19,23,-1,20,-1
5,32,34,39,39,22,25
5,17,28,-1,23,-3,16
5,12,16,15,15,15,15
5,10,14,17,13,16,12
5,25,14,23,19,19,15
5,4,14,10,9,6,5
5,15,10,12,12,12,11
5,9,19,15,14,13,12
5,35,43,-1,38,-1,29
5,16,41,33,31,27,27
5,27,46,-1,38,-3,24
5,21,11,17,17,15,17
5,10,8,9,8,8,5
5,2,5,4,3,4,3
5,16,32,-1,-1,-1,-3
5,24,19,23,23,14,14
5,12,13,15,11,14,10
5,11,10,12,9,12,9
5,24,25,27,26,20,20
5,11,12,11,13,10,13
5,14,19,15,19,12,16
5,7,2,5,5,5,5
5,12,14,11,11,11,11
5,20,10,-1,18,-1,17
5,21,29,27,26,20,16
5,18,25,27,-1,19,-2
5,5,4,3,3,3,3
5,10,9,-1,10,-1,7
5,10,21,16,14,15,12
5,6,15,11,10,11,7
5,9,31,23,19,15,18
5,6,16,10,10,10,9
5,13,9,11,11,11,11
5,13,23,21,20,12,15
5,20,18,18,18,17,17
5,12,18,16,15,14,14
5,11,14,14,13,14,8
5,16,26,22,21,21,17
5,9,19,15,15,14,15
5,33,46,-1,-1,-2,-2
5,26,21,25,22,22,14
5,10,15,15,15,14,9
5,18,21,24,21,15,18
5,5,10,8,7,8,7
5,23,27,-1,27,-1,18
5,15,25,24,23,22,21
5,8,21,14,14,14,14
5,18,18,19,18,15,12
5,21,31,-1,25,-3,24
5,24,30,27,28,15,18
5,10,17,14,15,14,12
5,28,40,41,39,33,23
5,29,34,32,-1,21,-3
5,16,21,20,17,15,15
5,16,30,27,24,18,14
5,20,17,19,19,19,18
5,8,11,10,10,9,9
5,11,12,14,13,14,11
5,27,49,44,37,28,27
5,23,22,26,-1,16,-3
5,8,6,7,7,7,7
5,11,22,-1,15,-3,11
5,21,29,-1,26,-3,22
5,6,5,5,5,3,3
5,28,33,36,33,25,27
