木の高さ,2by2,2by3,変形なしオーバーラップ,変形ありオーバーラップ,変形なしフラッシング,変形ありフラッシング
5,18,19,20,19,14,14
5,13,22,19,19,16,18
5,23,22,21,23,19,16
5,15,15,17,15,13,11
5,15,20,19,19,17,16
5,2,4,3,3,3,3
5,24,32,-1,-1,-3,-3
5,13,18,18,-1,18,-3
5,4,3,3,3,3,3
5,6,20,15,15,12,12
5,18,23,23,21,18,15
5,21,22,22,20,18,17
5,9,12,11,10,6,9
5,32,37,40,-1,23,-3
5,15,28,26,25,23,23
5,16,19,16,16,15,15
5,31,33,35,-1,25,-3
5,9,13,12,11,12,10
5,20,30,-1,24,-1,20
5,16,26,22,-1,12,-2
5,31,27,-1,-1,-3,-1
5,31,35,35,29,19,20
5,3,3,3,3,3,3
5,13,20,-1,-1,-3,-3
5,0,9,4,4,4,4
5,28,30,33,32,21,19
5,16,24,23,19,15,15
5,23,20,22,23,18,19
5,16,24,20,21,12,13
5,19,26,21,21,17,17
5,13,16,15,15,15,14
5,10,12,13,13,11,11
5,3,4,3,3,3,3
5,31,32,31,-1,20,-3
5,7,7,7,7,7,7
5,18,16,21,18,15,14
5,6,4,5,5,4,4
5,12,24,17,-1,12,-1
5,13,20,18,15,15,13
5,3,16,-1,10,-3,7
5,9,25,19,18,15,14
5,17,30,25,24,19,20
5,6,17,12,14,12,13
5,17,22,22,21,21,19
5,8,12,12,12,12,12
5,11,15,16,16,16,16
5,14,20,18,18,11,15
5,8,6,6,6,6,4
5,11,20,17,-1,17,-3
5,17,32,29,-1,20,-1
5,6,12,9,10,9,10
5,28,43,42,40,28,24
5,4,10,8,8,8,8
5,17,21,17,18,16,16
5,14,19,17,14,13,11
5,20,28,27,25,23,22
5,15,22,17,17,16,16
5,10,9,9,9,9,8
5,25,38,-1,34,-3,24
5,15,18,21,22,15,15
5,7,13,13,12,13,11
5,10,20,18,18,18,18
5,12,23,19,19,17,13
5,11,9,10,10,8,9
5,19,27,27,-1,24,-1
5,22,24,25,24,20,19
5,24,42,-1,-1,-2,-1
5,8,8,10,10,9,7
5,27,44,42,38,29,23
5,9,24,20,16,17,11
5,14,21,20,20,15,15
5,14,24,20,-1,11,-1
5,7,5,8,8,8,8
5,6,4,5,4,5,4
5,6,8,7,7,6,6
5,12,16,17,14,9,12
5,9,1,5,5,5,5
5,13,13,13,12,12,12
5,6,9,7,7,6,6
5,22,25,24,23,19,17
5,8,18,14,12,10,9
5,10,21,18,13,18,10
5,5,3,2,2,2,2
5,8,9,10,10,10,10
5,16,33,26,25,23,21
5,37,44,-1,-1,-2,-3
5,16,29,24,24,22,17
5,30,33,34,35,21,22
5,18,35,-1,-1,-3,-3
5,3,5,6,4,6,4
5,7,7,7,7,7,7
5,4,5,4,4,4,4
5,13,18,16,14,15,14
5,33,26,32,26,19,16
5,4,6,6,6,6,6
5,11,13,13,13,11,11
5,7,9,9,8,7,7
5,29,15,22,22,14,14
5,3,4,3,3,3,3
5,23,21,25,24,22,21
