木の高さ,2by2,2by3,変形なしオーバーラップ,変形ありオーバーラップ,変形なしフラッシング,変形ありフラッシング
5,0,8,4,4,3,4
5,2,12,5,6,5,5
5,23,46,41,38,30,22
5,7,13,10,10,10,10
5,15,14,14,14,14,14
5,19,22,23,23,22,22
5,33,28,38,34,23,24
5,16,26,-1,23,-3,15
5,16,13,14,13,12,7
5,10,9,10,10,8,10
5,25,33,33,30,19,22
5,3,7,5,5,5,5
5,19,25,23,22,18,15
5,20,35,30,-1,18,-1
5,11,13,14,14,14,14
5,17,13,17,17,17,17
5,17,29,26,26,25,25
5,12,16,15,16,15,15
5,25,20,24,24,20,16
5,18,24,23,24,23,23
5,6,11,8,9,6,7
5,13,16,13,-1,12,-3
5,8,11,10,10,5,5
5,20,8,17,17,12,12
5,4,10,7,8,6,8
5,15,28,25,25,25,21
5,11,8,12,10,7,8
5,10,11,10,10,10,10
5,9,13,10,10,10,10
5,13,23,-1,17,-1,11
5,18,27,24,23,23,21
5,7,25,-1,16,-1,14
5,7,9,8,6,8,6
5,20,16,17,19,14,14
5,22,30,-1,-1,-3,-3
5,41,47,-1,45,-1,36
5,5,15,10,10,8,8
5,17,19,-1,-1,-1,-3
5,10,22,-1,-1,-1,-1
5,5,9,6,6,6,6
5,15,14,15,13,14,7
5,14,17,19,18,13,13
5,9,28,18,18,14,14
5,16,30,30,25,21,19
5,16,21,21,22,12,16
5,24,33,35,33,29,28
5,8,9,9,9,9,9
5,5,10,7,8,7,8
5,21,34,25,-1,17,-3
5,20,28,26,27,25,25
5,22,17,24,24,23,20
5,23,24,-1,21,-1,18
5,32,41,-1,38,-1,25
5,30,37,-1,35,-3,21
5,13,14,13,11,12,10
5,21,14,18,17,18,17
5,20,16,19,-1,14,-3
5,14,16,19,19,18,18
5,7,7,7,7,7,7
5,18,13,16,15,15,14
5,9,19,16,15,10,12
5,9,13,11,10,8,10
5,20,28,-1,25,-1,19
5,12,10,13,11,13,11
5,7,16,12,11,12,10
5,2,9,6,6,6,6
5,21,27,24,25,15,18
5,18,22,-1,-1,-1,-3
5,10,21,15,19,15,16
5,10,12,11,11,10,10
5,21,29,27,27,17,21
5,6,11,10,10,10,10
5,16,15,-1,18,-1,15
5,12,22,20,16,16,12
5,24,16,-1,20,-3,17
5,22,36,31,29,21,19
5,22,40,36,-1,35,-1
5,17,23,24,22,17,16
5,25,34,33,28,24,23
5,5,10,7,7,7,7
5,8,13,10,10,8,8
5,22,32,32,26,27,20
5,8,6,7,6,7,6
5,14,10,15,13,14,11
5,17,25,-1,25,-2,15
5,7,7,9,7,9,7
5,18,27,23,-1,17,-3
5,13,11,14,13,13,11
5,15,21,-1,20,-3,14
5,5,11,10,10,10,10
5,8,11,11,10,11,10
5,22,21,23,23,20,19
5,17,8,14,15,13,15
5,17,20,-1,-1,-1,-2
5,13,24,20,22,20,21
5,26,24,26,26,22,22
5,22,33,-1,33,-1,29
5,21,29,28,26,24,15
5,17,35,35,31,27,18
5,19,20,21,21,15,17
