木の高さ,2by2,2by3,変形なし,変形あり
5,7,6,-3,6
5,21,21,23,18
5,13,9,12,10
5,9,19,13,11
5,8,27,19,16
5,3,5,4,4
5,15,18,21,14
5,36,36,25,29
5,15,19,10,-1
5,11,27,19,17
5,17,33,-1,18
5,26,27,-1,25
5,10,6,7,8
5,28,23,28,21
5,12,22,20,13
5,14,14,-3,17
5,13,30,14,14
5,35,30,26,23
5,5,11,4,5
5,3,7,4,5
5,2,8,4,4
5,7,15,11,10
5,30,31,-3,19
5,23,26,-1,20
5,7,15,-3,6
5,10,8,9,9
5,29,32,23,22
5,4,6,4,4
5,10,16,14,14
5,8,15,-1,13
5,24,34,25,19
5,25,27,21,20
5,5,6,8,8
5,9,6,8,8
5,15,8,11,11
5,39,46,32,27
5,7,2,5,4
5,4,5,5,5
5,16,25,18,19
5,13,13,10,9
5,5,28,15,12
5,8,11,7,7
5,10,17,13,13
5,22,29,22,26
5,20,28,26,26
5,7,19,-1,12
5,6,13,6,3
5,8,14,11,11
5,9,6,7,7
5,3,4,4,4
5,14,14,14,6
5,17,23,19,21
5,3,10,4,4
5,9,25,18,17
5,21,30,27,24
5,19,14,15,14
5,8,17,13,13
5,9,5,7,8
5,18,19,17,17
5,13,20,12,-2
5,13,11,7,12
5,23,35,21,22
5,4,7,5,5
5,10,12,11,11
5,3,6,5,3
5,12,19,15,12
5,25,23,23,17
5,8,18,12,12
5,15,23,-1,13
5,3,6,4,4
5,8,16,11,13
5,4,6,4,4
5,15,33,18,23
5,10,21,15,-1
5,37,29,21,19
5,16,15,-3,12
5,16,12,14,11
5,8,7,5,7
5,7,7,7,7
5,22,29,18,14
5,21,38,-1,-1
5,11,23,19,14
5,6,22,12,11
5,8,12,9,10
5,12,16,11,11
5,7,9,9,9
5,12,8,12,12
5,20,22,-3,-3
5,20,24,18,17
5,6,4,5,4
5,9,18,14,13
5,12,10,9,9
5,17,16,15,12
5,15,19,-3,-3
5,8,13,10,10
5,3,2,3,3
5,12,13,-2,-2
5,19,29,23,24
5,23,20,23,21
5,36,40,24,22
