木の高さ,2by2,2by3,変形なしオーバーラップ,変形ありオーバーラップ,変形なしフラッシング,変形ありフラッシング
4,6,7,7,7,7,7
4,13,16,-1,15,-1,9
4,7,13,10,9,7,7
4,2,4,2,2,2,2
4,7,9,12,9,9,3
4,8,13,10,9,8,5
4,6,6,5,4,4,3
4,7,5,5,5,5,5
4,5,10,10,10,10,10
4,5,16,11,10,7,8
4,3,4,3,3,3,3
4,18,18,20,19,11,8
4,4,7,4,4,3,3
4,10,11,-1,-1,-3,-3
4,0,9,3,3,2,2
4,11,6,6,6,4,4
4,6,15,10,10,9,8
4,10,8,8,8,8,7
4,1,4,2,2,2,2
4,14,9,12,12,9,11
4,6,4,3,3,3,3
4,1,8,4,4,4,4
4,5,4,4,4,4,4
4,10,13,11,11,6,7
4,9,25,16,15,10,9
4,4,3,3,3,3,3
4,11,17,17,16,9,6
4,6,6,-1,-1,-3,-3
4,14,21,18,-1,8,-1
4,9,18,14,13,12,10
4,7,4,6,6,6,6
4,7,3,5,3,5,3
4,9,16,16,14,11,5
4,4,6,5,5,3,3
4,8,5,6,6,6,6
4,11,12,11,11,8,8
4,18,25,25,22,17,11
4,3,6,4,4,4,3
4,5,12,-1,9,-3,8
4,3,3,2,2,2,2
4,12,9,-1,8,-3,4
4,12,17,15,12,11,8
4,14,16,14,15,7,6
4,10,9,-1,8,-1,7
4,7,11,9,8,7,5
4,8,11,9,10,6,8
4,14,8,11,10,10,7
4,6,4,5,5,5,5
4,5,5,5,5,5,5
4,5,7,7,7,6,6
4,8,17,11,11,6,6
4,14,11,14,14,8,8
4,6,8,5,5,4,4
4,12,11,8,8,9,9
4,9,10,8,8,6,6
4,7,6,7,7,6,6
4,3,6,5,5,5,5
4,15,15,15,16,12,12
4,7,7,6,6,3,3
4,5,4,5,4,4,4
4,5,5,3,3,3,3
4,11,8,8,8,5,5
4,12,22,18,18,10,7
4,4,5,4,3,4,3
4,10,9,8,8,7,5
4,12,8,8,8,7,7
4,5,4,5,5,5,5
4,12,23,18,18,8,8
4,13,19,15,14,8,9
4,5,12,8,8,4,4
4,9,3,6,7,6,7
4,9,12,9,9,9,9
4,2,12,6,6,2,2
4,13,13,14,14,9,10
4,7,5,6,6,6,6
4,3,4,2,2,2,2
4,6,8,7,8,5,5
4,9,15,13,14,9,9
4,12,8,8,8,8,8
4,7,11,11,11,7,7
4,3,11,7,7,6,6
4,5,9,5,5,5,5
4,4,5,4,4,4,4
4,3,3,3,3,3,3
4,3,2,2,2,2,2
4,6,7,5,5,5,5
4,9,12,10,11,5,6
4,4,12,10,10,8,8
4,11,12,10,10,7,7
4,11,6,10,9,9,8
4,7,23,13,13,5,6
4,4,2,3,3,3,3
4,8,14,11,11,10,10
4,6,14,11,10,11,10
4,13,20,18,15,14,9
4,14,11,11,10,8,7
4,7,9,8,8,5,5
4,20,6,12,-1,10,-1
4,2,10,7,7,4,4
4,2,14,7,7,7,7
