木の高さ,2by2,2by3,変形なし,変形あり
4,4,5,4,4
4,6,9,8,7
4,4,4,3,3
4,9,7,7,7
4,3,12,5,4
4,13,15,9,11
4,3,3,-1,3
4,4,3,3,3
4,10,7,-1,7
4,2,3,2,2
4,15,13,9,8
4,11,11,4,6
4,5,5,5,5
4,2,7,-1,4
4,8,17,9,9
4,11,18,8,8
4,8,25,10,9
4,5,13,6,6
4,5,8,8,8
4,11,13,11,9
4,11,16,9,6
4,12,15,8,7
4,10,9,6,5
4,7,12,7,6
4,16,25,10,13
4,5,16,7,7
4,10,5,7,7
4,2,10,6,6
4,4,13,6,6
4,5,8,7,7
4,5,3,3,3
4,10,6,7,7
4,12,13,9,8
4,12,1,5,5
4,20,18,13,13
4,1,7,3,3
4,12,3,7,5
4,15,14,11,10
4,4,8,4,4
4,13,9,7,7
4,11,17,9,-1
4,5,3,3,3
4,2,5,4,5
4,7,13,11,9
4,1,3,2,2
4,2,9,7,6
4,4,4,3,3
4,7,16,8,10
4,5,2,2,2
4,5,8,4,5
4,7,12,7,7
4,3,1,2,2
4,8,14,4,4
4,2,15,-3,6
4,9,5,7,6
4,8,18,9,8
4,5,10,9,8
4,3,3,2,2
4,4,3,3,3
4,7,14,6,6
4,8,3,-3,5
4,4,5,2,2
4,7,11,8,8
4,7,10,9,9
4,3,10,7,7
4,6,13,7,7
4,6,10,8,8
4,3,4,3,3
4,17,18,13,12
4,10,21,10,10
4,8,9,8,7
4,4,8,5,5
4,17,19,11,13
4,13,17,10,9
4,15,24,15,14
4,4,8,6,3
4,4,4,3,3
4,15,23,9,11
4,5,3,3,3
4,9,10,7,7
4,6,7,4,3
4,9,11,7,7
4,5,13,5,5
4,8,8,7,7
4,6,8,5,5
4,14,6,7,8
4,18,16,13,11
4,1,3,2,2
4,4,4,4,4
4,3,6,4,4
4,5,8,6,5
4,9,7,6,5
4,4,2,2,2
4,4,4,4,4
4,4,6,5,5
4,10,8,5,5
4,6,6,6,6
4,8,7,5,5
4,6,13,8,8
4,0,8,3,3
