木の高さ,2by2,2by3,変形なしオーバーラップ,変形ありオーバーラップ,変形なしフラッシング,変形ありフラッシング
5,10,6,9,9,9,9
5,11,13,15,12,14,10
5,24,28,32,32,16,16
5,2,4,3,3,3,3
5,23,44,37,33,22,22
5,17,17,20,20,12,12
5,10,19,18,14,10,8
5,7,4,6,6,6,6
5,13,29,23,23,17,17
5,43,30,-1,38,-1,25
5,23,32,29,31,20,15
5,6,12,7,8,6,6
5,17,18,-1,-1,-3,-3
5,17,18,18,16,18,16
5,7,10,8,9,7,7
5,6,5,6,6,6,6
5,19,29,25,25,24,21
5,6,10,-1,7,-3,7
5,21,22,25,26,23,22
5,21,34,30,29,20,20
5,6,12,11,12,11,12
5,25,41,36,35,19,23
5,14,24,22,20,18,19
5,16,18,19,18,18,16
5,19,20,22,22,19,18
5,20,32,-1,27,-1,18
5,14,12,10,13,9,9
5,8,17,15,15,11,11
5,11,14,16,13,16,12
5,14,21,17,14,16,11
5,33,25,33,35,25,27
5,9,1,5,5,5,5
5,24,24,26,28,20,19
5,12,13,13,14,11,13
5,33,41,42,39,29,23
5,20,25,26,24,22,19
5,15,37,29,31,28,29
5,24,28,28,32,19,21
5,27,25,-1,-1,-3,-3
5,21,17,-1,-1,-1,-1
5,18,13,-1,-1,-1,-1
5,22,27,27,27,19,18
5,13,12,15,12,15,11
5,6,7,6,6,6,6
5,12,19,18,17,17,12
5,13,31,27,28,22,18
5,19,18,18,19,14,18
5,9,1,5,5,5,5
5,3,13,8,11,8,11
5,18,26,21,20,17,14
5,2,7,4,4,4,4
5,28,25,27,27,20,16
5,0,9,-1,4,-3,4
5,6,17,13,14,13,13
5,7,29,-1,-1,-3,-2
5,9,15,13,13,11,11
5,9,10,9,9,9,8
5,17,17,-1,-1,-3,-1
5,16,21,23,19,19,15
5,15,18,18,18,14,15
5,22,36,-1,-1,-3,-3
5,14,18,-1,-1,-3,-3
5,10,4,7,7,7,7
5,12,17,14,15,10,6
5,10,23,20,18,20,16
5,11,14,12,11,10,10
5,6,11,8,7,6,6
5,11,15,13,11,12,11
5,14,16,17,15,16,14
5,21,26,26,25,21,17
5,7,5,-1,7,-1,5
5,21,21,25,23,24,20
5,17,7,12,11,10,10
5,8,15,12,12,12,11
5,19,18,19,19,19,15
5,12,23,20,19,19,18
5,13,11,14,14,14,10
5,17,11,15,15,13,11
5,11,9,10,10,10,6
5,5,11,9,9,9,9
5,10,16,15,13,15,12
5,9,14,12,12,12,12
5,10,13,12,14,11,13
5,12,10,12,12,12,12
5,15,17,-1,20,-1,16
5,23,14,23,22,18,14
5,8,16,11,11,10,10
5,19,27,25,23,16,15
5,14,11,-1,12,-3,10
5,17,29,23,24,14,15
5,6,9,8,7,8,7
5,9,1,5,5,5,5
5,20,24,25,23,22,17
5,10,8,9,9,9,9
5,2,3,1,1,1,1
5,18,31,29,23,19,14
5,20,11,17,17,15,11
5,13,21,18,18,16,15
5,8,2,5,5,5,5
5,21,37,-1,29,-1,22
