木の高さ,2by2,2by3,変形なし,変形あり
5,19,22,21,-3
5,15,24,20,15
5,31,27,-3,18
5,6,12,9,9
5,21,29,24,17
5,14,36,24,25
5,7,8,8,8
5,3,3,3,3
5,16,15,9,12
5,5,8,6,4
5,13,33,22,18
5,14,29,17,15
5,34,37,29,31
5,7,13,10,9
5,19,24,21,17
5,19,28,23,23
5,19,27,15,16
5,2,9,6,6
5,12,39,17,-1
5,15,15,12,9
5,17,18,14,14
5,13,20,19,18
5,11,11,13,13
5,10,26,14,14
5,3,16,10,10
5,21,24,17,19
5,12,13,-1,9
5,19,21,18,17
5,11,11,7,8
5,10,4,7,7
5,47,46,-1,24
5,3,12,7,8
5,12,5,7,4
5,11,24,-1,19
5,13,15,11,9
5,16,11,14,11
5,12,19,-1,17
5,14,12,12,13
5,22,23,22,20
5,12,21,14,12
5,23,24,21,23
5,27,21,-3,21
5,4,1,3,3
5,8,3,7,7
5,11,17,15,15
5,16,17,18,15
5,12,22,17,16
5,23,20,-1,21
5,22,41,24,24
5,41,28,24,-1
5,24,20,18,18
5,23,24,20,23
5,21,25,-1,17
5,12,18,8,8
5,17,21,16,16
5,11,22,15,17
5,15,21,14,13
5,34,42,27,24
5,7,5,6,6
5,13,22,14,13
5,8,22,-1,13
5,4,5,4,4
5,15,19,-1,13
5,9,17,13,13
5,9,10,11,10
5,7,4,-3,-3
5,28,23,23,19
5,18,19,18,15
5,27,23,21,14
5,21,25,22,17
5,13,11,12,12
5,30,38,20,-2
5,15,13,15,15
5,5,10,6,6
5,21,17,19,20
5,20,12,19,17
5,11,9,12,9
5,16,10,13,11
5,31,51,-1,-1
5,9,10,-2,-2
5,15,19,17,17
5,32,22,23,24
5,22,25,21,17
5,9,20,18,12
5,17,27,-1,22
5,4,12,8,7
5,17,22,-3,18
5,19,26,25,-2
5,16,20,17,14
5,0,5,3,3
5,11,16,14,6
5,19,24,25,17
5,10,19,14,15
5,31,24,20,17
5,25,40,24,22
5,12,10,12,11
5,29,51,-3,-3
5,13,25,13,-2
5,9,12,10,10
5,12,26,16,16
