木の高さ,2by2,2by3,変形なし,変形あり
4,4,4,3,3
4,5,23,9,10
4,12,8,-3,8
4,9,17,11,11
4,4,10,7,7
4,8,8,-3,6
4,7,8,8,5
4,5,8,6,6
4,7,12,8,4
4,5,8,7,6
4,6,2,4,4
4,4,13,6,6
4,2,10,4,4
4,8,14,11,11
4,6,9,6,6
4,4,14,6,6
4,4,4,4,4
4,4,6,6,5
4,8,8,6,6
4,6,8,5,4
4,3,3,2,2
4,5,5,5,5
4,4,1,2,2
4,9,14,-1,5
4,13,11,10,8
4,8,11,7,7
4,10,11,10,8
4,3,5,4,4
4,9,13,9,8
4,10,11,8,9
4,6,10,-3,-3
4,12,8,9,9
4,6,5,2,2
4,0,11,6,6
4,12,6,7,4
4,10,8,7,6
4,9,4,6,6
4,10,13,-1,8
4,5,7,7,7
4,1,7,3,3
4,3,9,5,5
4,8,8,7,9
4,4,6,4,4
4,6,2,3,3
4,8,7,7,7
4,5,0,2,2
4,8,6,6,6
4,5,14,6,6
4,6,5,5,4
4,7,13,4,4
4,7,4,5,4
4,14,11,13,10
4,3,5,4,4
4,6,12,7,6
4,3,4,3,3
4,0,5,1,1
4,4,7,6,4
4,5,7,6,6
4,4,3,-3,-3
4,6,6,5,6
4,10,9,7,7
4,3,11,6,6
4,4,2,2,2
4,4,10,-2,-2
4,9,3,6,6
4,4,6,5,5
4,11,15,11,10
4,7,8,6,6
4,2,10,5,5
4,4,6,-3,-3
4,7,16,6,6
4,10,7,6,7
4,7,10,8,8
4,3,8,3,5
4,13,2,3,3
4,7,9,5,5
4,8,9,7,7
4,9,7,5,6
4,5,8,6,6
4,5,9,6,4
4,16,17,9,12
4,16,5,7,7
4,1,7,3,3
4,9,16,9,8
4,4,5,3,3
4,4,4,4,4
4,8,7,5,5
4,5,10,10,9
4,7,11,8,6
4,5,1,3,3
4,2,2,1,1
4,8,8,8,7
4,7,1,3,3
4,16,12,11,8
4,10,11,11,11
4,6,5,5,5
4,8,9,6,6
4,8,6,5,5
4,5,1,1,1
4,6,3,2,2
