木の高さ,2by2,2by3,変形なし,変形あり
5,10,11,10,12
5,20,37,23,-2
5,10,14,11,10
5,30,34,-1,-1
5,22,20,20,18
5,19,38,24,21
5,39,37,-1,34
5,11,19,14,13
5,25,18,-1,17
5,13,13,8,8
5,10,9,9,9
5,5,4,4,4
5,6,10,8,9
5,15,30,20,18
5,7,2,4,4
5,14,10,-3,-3
5,26,24,16,18
5,6,3,4,4
5,4,1,3,3
5,16,19,12,12
5,5,10,5,5
5,19,31,23,19
5,21,32,-3,27
5,20,18,22,12
5,18,19,18,17
5,10,12,10,10
5,28,43,20,30
5,23,35,-3,-3
5,24,24,18,17
5,7,5,4,4
5,14,15,6,8
5,15,24,18,18
5,12,13,13,7
5,4,4,4,4
5,5,14,9,9
5,18,35,27,-3
5,12,28,18,16
5,20,14,-1,-3
5,17,36,23,21
5,7,16,13,13
5,20,21,16,16
5,9,5,5,5
5,17,28,19,17
5,32,53,28,-1
5,9,19,13,12
5,6,5,7,6
5,32,55,28,27
5,9,20,15,15
5,15,27,16,11
5,3,2,3,3
5,38,41,-3,27
5,13,7,6,6
5,6,12,6,6
5,5,5,6,6
5,13,7,10,9
5,5,19,11,11
5,12,16,15,15
5,10,20,10,9
5,15,28,18,14
5,24,29,18,18
5,11,12,12,12
5,23,23,21,15
5,26,37,23,28
5,15,15,15,15
5,14,33,13,15
5,3,11,7,-3
5,7,12,8,8
5,7,11,11,11
5,23,38,24,-1
5,12,9,8,8
5,35,38,-2,-2
5,18,19,-1,13
5,39,29,23,-3
5,14,29,20,21
5,13,28,18,16
5,15,32,26,22
5,12,20,18,15
5,7,3,5,5
5,33,45,-1,-2
5,11,23,7,7
5,8,11,12,12
5,10,9,11,11
5,12,22,-1,10
5,25,24,24,20
5,30,23,27,24
5,11,15,13,10
5,23,40,-3,21
5,16,25,18,19
5,8,4,6,4
5,12,28,-3,13
5,15,36,19,-1
5,16,16,17,18
5,5,4,4,4
5,19,15,17,11
5,31,40,32,-3
5,17,38,24,23
5,8,11,10,-3
5,15,11,11,12
5,10,13,12,12
5,32,36,30,-1
