木の高さ,2by2,2by3,変形なし,変形あり
5,9,18,13,12
5,18,15,15,18
5,10,15,9,5
5,9,21,17,14
5,6,13,6,6
5,9,11,11,9
5,25,28,24,23
5,25,19,18,-3
5,15,14,11,10
5,10,23,-1,14
5,5,19,12,11
5,14,25,12,13
5,32,27,26,26
5,36,31,-3,-3
5,5,8,-1,6
5,10,5,7,7
5,7,15,9,8
5,17,9,15,12
5,7,2,6,6
5,15,12,14,13
5,3,7,6,6
5,6,10,7,8
5,4,5,3,3
5,3,6,4,4
5,33,28,22,24
5,12,15,15,13
5,21,24,-3,21
5,2,10,6,6
5,11,19,14,-3
5,12,22,17,16
5,26,43,30,27
5,7,15,14,13
5,25,43,16,-2
5,7,13,10,9
5,7,2,5,5
5,21,35,21,25
5,12,24,14,10
5,18,32,23,20
5,16,24,15,15
5,19,19,16,19
5,17,21,17,19
5,8,13,11,9
5,8,12,-3,-3
5,18,40,-3,-2
5,13,22,-3,16
5,4,4,4,4
5,20,26,26,22
5,9,14,-3,10
5,12,9,10,10
5,5,10,7,6
5,22,21,18,14
5,8,25,10,11
5,15,15,16,17
5,7,19,16,12
5,15,23,16,16
5,21,29,19,21
5,14,24,16,15
5,5,5,4,4
5,19,14,12,10
5,20,22,17,17
5,10,23,15,16
5,19,27,-1,20
5,22,39,27,18
5,7,6,5,8
5,34,24,-3,-3
5,6,14,9,9
5,9,16,13,8
5,23,29,25,18
5,12,16,-1,11
5,13,18,17,17
5,9,13,9,9
5,14,13,13,12
5,2,4,3,3
5,7,19,16,16
5,13,17,16,14
5,32,32,27,23
5,11,16,-2,10
5,13,14,12,13
5,11,6,7,7
5,25,34,24,-1
5,16,23,20,16
5,11,21,16,13
5,1,4,3,3
5,2,8,4,4
5,16,25,13,11
5,33,45,24,23
5,17,22,-3,-3
5,11,14,11,-1
5,5,5,4,4
5,3,7,5,5
5,19,27,16,16
5,12,16,-1,13
5,12,11,12,12
5,22,16,-1,16
5,9,16,14,10
5,23,24,-3,-3
5,21,34,22,-1
5,27,30,24,21
5,20,47,27,26
5,20,27,13,15
