木の高さ,2by2,2by3,変形なし,変形あり
5,19,26,21,18
5,30,34,-1,22
5,5,4,5,5
5,8,10,9,9
5,14,21,17,19
5,12,6,12,10
5,33,21,19,24
5,22,36,-1,18
5,14,27,-3,16
5,6,14,9,9
5,17,22,16,15
5,16,23,18,16
5,12,24,21,17
5,19,33,23,22
5,22,31,17,20
5,22,35,-3,20
5,3,15,9,9
5,8,7,8,8
5,20,16,16,13
5,18,35,-2,13
5,18,18,17,10
5,15,16,17,17
5,48,46,-3,-1
5,29,41,25,-2
5,26,30,24,-2
5,15,32,19,-2
5,13,37,20,18
5,14,20,19,12
5,15,26,18,16
5,11,19,17,15
5,9,20,14,14
5,13,24,19,19
5,7,19,7,9
5,8,7,4,6
5,34,35,25,-1
5,13,19,19,16
5,6,12,10,10
5,22,24,17,15
5,46,47,-1,-1
5,19,27,26,24
5,6,11,9,6
5,27,33,24,22
5,7,2,5,5
5,5,2,4,4
5,12,16,13,13
5,16,27,-1,-1
5,12,23,10,-1
5,25,16,27,16
5,17,17,16,14
5,16,25,17,17
5,16,13,14,14
5,9,23,-3,16
5,7,8,8,8
5,32,35,-1,-3
5,9,11,-1,10
5,39,31,-1,23
5,7,7,7,7
5,7,6,6,6
5,10,35,-1,16
5,25,35,22,20
5,12,22,21,21
5,8,8,6,6
5,15,13,15,13
5,11,12,10,9
5,11,14,10,10
5,4,4,4,4
5,28,33,32,-3
5,19,20,18,15
5,21,16,17,-3
5,24,46,23,22
5,5,9,7,7
5,28,32,19,22
5,12,22,15,14
5,2,4,3,3
5,13,12,12,11
5,16,14,13,13
5,8,19,11,13
5,30,23,26,23
5,9,23,10,10
5,9,21,14,12
5,2,9,6,3
5,17,30,17,17
5,20,21,22,22
5,6,13,-1,-3
5,25,26,22,19
5,6,10,11,10
5,11,12,9,-2
5,10,12,10,8
5,18,14,-3,-3
5,8,15,12,11
5,17,14,16,11
5,5,11,7,6
5,9,11,12,10
5,16,26,16,17
5,5,9,8,8
5,5,10,3,3
5,6,5,4,3
5,19,18,-1,14
5,22,32,19,23
5,12,20,19,13
