木の高さ,変形なし,変形あり
4,1,3
4,3,3
4,2,2
4,4,4
4,2,2
4,3,3
4,8,7
4,6,5
4,9,9
4,6,6
4,6,6
4,6,6
4,3,3
4,3,3
4,6,5
4,7,7
4,-1,10
4,-1,7
4,5,5
4,6,6
4,7,4
4,11,9
4,6,6
4,5,5
4,7,8
4,3,3
4,8,7
4,5,4
4,5,5
4,12,12
4,3,3
4,7,7
4,6,6
4,6,7
4,3,3
4,-1,-1
4,3,3
4,10,6
4,5,6
4,4,5
4,5,5
4,6,6
4,6,6
4,1,1
4,7,7
4,3,3
4,3,3
4,8,8
4,8,8
4,6,6
4,-1,-1
4,10,4
4,7,7
4,8,6
4,-1,8
4,4,4
4,7,5
4,4,4
4,5,5
4,1,1
4,8,8
4,7,6
4,2,2
4,8,7
4,6,6
4,6,5
4,8,8
4,9,8
4,3,3
4,8,8
4,4,4
4,2,2
4,6,6
4,5,5
4,11,11
4,2,2
4,6,4
4,10,7
4,2,2
4,8,-1
4,4,3
4,1,1
4,7,7
4,5,5
4,5,5
4,2,2
4,-1,-1
4,9,10
4,5,5
4,5,6
4,8,8
4,4,4
4,11,11
4,5,5
4,0,0
4,-1,8
4,4,4
4,-1,5
4,-1,5
4,-1,2
