木の高さ,変形なし,変形あり
5,9,8
5,8,6
5,17,17
5,14,12
5,11,11
5,30,25
5,8,7
5,9,9
5,10,9
5,26,27
5,-3,7
5,7,7
5,17,18
5,-1,34
5,15,12
5,19,19
5,8,7
5,4,4
5,5,5
5,12,11
5,10,9
5,20,15
5,10,10
5,11,11
5,11,12
5,29,22
5,24,15
5,-3,29
5,4,4
5,22,23
5,15,12
5,18,15
5,13,13
5,14,15
5,23,17
5,22,23
5,16,16
5,-1,26
5,13,13
5,9,9
5,4,3
5,20,20
5,12,12
5,5,5
5,30,26
5,19,13
5,24,19
5,8,8
5,19,20
5,24,17
5,11,8
5,15,15
5,-3,19
5,25,22
5,3,3
5,9,9
5,16,13
5,11,10
5,15,15
5,23,-3
5,11,12
5,10,10
5,26,17
5,9,9
5,9,9
5,14,12
5,-1,4
5,17,17
5,15,17
5,20,15
5,8,8
5,19,19
5,17,15
5,-3,-3
5,24,24
5,9,9
5,18,14
5,7,7
5,9,9
5,19,16
5,12,8
5,26,20
5,17,12
5,8,-3
5,12,-3
5,24,19
5,22,21
5,-1,15
5,-2,19
5,11,11
5,18,16
5,14,12
5,11,11
5,22,20
5,4,4
5,-2,-1
5,13,13
5,22,21
5,15,13
5,27,23
