木の高さ,変形なし,変形あり
5,-3,-2
5,20,19
5,6,6
5,9,-2
5,10,10
5,18,15
5,-3,-3
5,12,10
5,12,10
5,27,25
5,-1,12
5,9,9
5,13,11
5,-3,16
5,13,15
5,4,4
5,7,8
5,-3,12
5,22,20
5,15,16
5,3,3
5,9,9
5,15,9
5,7,7
5,9,9
5,13,12
5,-3,15
5,8,8
5,23,-1
5,-3,22
5,17,-1
5,15,16
5,27,-3
5,3,3
5,11,16
5,14,13
5,26,25
5,21,-3
5,15,15
5,24,28
5,20,15
5,29,26
5,15,15
5,9,9
5,-3,-3
5,19,18
5,15,18
5,-1,20
5,12,13
5,23,23
5,-3,-3
5,16,15
5,9,9
5,15,20
5,13,9
5,21,22
5,8,9
5,22,16
5,16,-3
5,-3,18
5,24,15
5,16,15
5,-3,21
5,35,27
5,16,12
5,14,14
5,-3,-3
5,17,15
5,34,35
5,-2,-2
5,18,19
5,18,14
5,26,22
5,22,19
5,-1,-1
5,20,23
5,10,11
5,16,16
5,17,13
5,-1,21
5,-1,-1
5,17,15
5,7,7
5,11,11
5,18,18
5,11,11
5,15,15
5,15,16
5,12,10
5,17,17
5,21,20
5,23,20
5,27,18
5,15,18
5,15,11
5,16,14
5,15,13
5,-1,14
5,-3,14
5,5,5
