木の高さ,変形なし,変形あり
5,20,20
5,9,12
5,8,7
5,-3,5
5,14,12
5,16,11
5,16,9
5,15,12
5,6,6
5,5,5
5,7,7
5,22,22
5,20,16
5,12,10
5,9,8
5,20,18
5,5,5
5,-2,-2
5,15,15
5,-3,-3
5,14,9
5,14,13
5,4,4
5,7,7
5,15,16
5,15,-3
5,19,15
5,23,21
5,-3,-1
5,12,12
5,3,5
5,18,12
5,-3,16
5,18,15
5,11,11
5,18,19
5,4,4
5,17,15
5,8,9
5,-3,22
5,16,15
5,-3,10
5,11,10
5,22,22
5,11,9
5,5,4
5,15,15
5,8,8
5,12,12
5,19,17
5,22,20
5,16,17
5,18,15
5,20,20
5,8,8
5,-3,26
5,6,7
5,17,19
5,5,5
5,18,15
5,10,12
5,3,3
5,-1,-3
5,6,6
5,-1,23
5,16,18
5,8,8
5,13,13
5,16,18
5,16,16
5,19,18
5,13,13
5,11,12
5,15,17
5,-3,16
5,15,13
5,-1,26
5,15,14
5,16,16
5,13,15
5,24,17
5,19,20
5,20,17
5,12,12
5,-1,-3
5,-1,13
5,36,19
5,20,17
5,10,-1
5,5,5
5,14,10
5,-3,-1
5,18,17
5,22,-3
5,16,17
5,37,31
5,15,11
5,16,-3
5,16,14
5,20,19
